ghsa_id,type,severity,published_at,github_reviewed_at,cvss_score,package,vulnerable_version_range,first_patched_version
GHSA-hmgw-9jrg-hf2m,reviewed,high,2023-10-19 20:02:00,2023-10-19 20:02:00,7.50,directus,">= 10.4.0, < 10.6.2",10.6.2
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,tinymce,">= 6.0.0, < 6.7.1",6.7.1
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,TinyMCE,">= 6.0.0, < 6.7.1",6.7.1
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,tinymce/tinymce,">= 6.0.0, < 6.7.1",6.7.1
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,tinymce,< 5.10.8,5.10.8
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,TinyMCE,< 5.10.8,5.10.8
GHSA-hgqx-r2hp-jr38,reviewed,medium,2023-10-19 16:42:06,2023-10-19 16:42:06,6.10,tinymce/tinymce,< 5.10.8,5.10.8
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,tinymce,">= 6.0.0, < 6.7.1",6.7.1
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,TinyMCE,">= 6.0.0, < 6.7.1",6.7.1
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,tinymce/tinymce,">= 6.0.0, < 6.7.1",6.7.1
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,tinymce,< 5.10.8,5.10.8
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,TinyMCE,< 5.10.8,5.10.8
GHSA-v65r-p3vv-jjfv,reviewed,medium,2023-10-19 16:36:03,2023-10-19 16:36:03,6.10,tinymce/tinymce,< 5.10.8,5.10.8
GHSA-jg82-xh3w-rhxx,reviewed,high,2023-10-18 18:27:01,2023-10-18 18:27:01,8.10,deobfuscator,">= 2.0.1, < 2.4.4",2.4.4
GHSA-rc4v-99cr-pjcm,reviewed,critical,2023-10-17 14:21:02,2023-10-17 14:21:02,10.00,@seal-security/mongoose-fixed,= 5.3.3,5.3.4
GHSA-3m5q-q39v-xf8f,reviewed,medium,2023-10-17 13:52:01,2023-10-17 13:52:01,6.50,nocodb,< 0.111.0,0.111.0
GHSA-wqq4-5wpv-mx2g,reviewed,low,2023-10-16 14:05:04,2023-10-16 14:05:04,3.90,undici,< 5.26.2,5.26.2
GHSA-67hx-6x53-jw92,reviewed,critical,2023-10-16 13:55:04,2023-10-16 13:55:04,9.30,@babel/traverse,< 7.23.2,7.23.2
GHSA-67hx-6x53-jw92,reviewed,critical,2023-10-16 13:55:04,2023-10-16 13:55:04,9.30,@babel/traverse,">= 8.0.0-alpha.0, < 8.0.0-alpha.4",8.0.0-alpha.4
GHSA-fpr8-4wvx-j9q3,reviewed,high,2023-10-14 06:30:05,2023-10-17 02:11:02,7.30,node-qpdf,<= 1.0.3,
GHSA-w35p-wxwj-rcm9,reviewed,critical,2023-10-13 12:30:02,2023-10-13 23:38:02,10.00,@vrite/sdk,< 0.3.0,0.3.0
GHSA-5ghm-h2wq-g3mh,reviewed,medium,2023-10-13 12:30:02,2023-10-13 19:24:05,4.70,@vrite/sdk,< 0.3.0,0.3.0
GHSA-44ff-9w4f-99w6,reviewed,medium,2023-10-13 12:30:02,2023-10-13 23:38:02,6.50,@vrite/sdk,< 0.3.0,0.3.0
GHSA-rr4x-crhf-8886,reviewed,high,2023-10-10 21:29:05,2023-10-10 21:29:05,,@graphql-mesh/runtime,">= 0.96.5, < 0.96.9",0.96.9
GHSA-g9v2-wqcj-j99g,reviewed,high,2023-10-10 21:29:02,2023-10-10 21:29:02,7.80,uptime-kuma,< 1.23.3,1.23.3
GHSA-8r6j-v8pm-fqw3,reviewed,critical,2023-10-06 21:30:05,2023-10-09 21:35:02,9.80,fsevents,<= 1.2.10,1.2.11
GHSA-4xcx-cwrq-w792,reviewed,high,2023-10-06 21:30:05,2023-10-09 00:48:03,7.50,openmct,<= 3.0.2,
GHSA-mvrp-3cvx-c325,reviewed,high,2023-10-04 14:46:01,2023-10-04 14:46:01,7.50,express-zod-api,< 10.0.0-beta1,10.0.0-beta1
GHSA-v834-rhv4-65m3,reviewed,high,2023-10-03 06:30:03,2023-10-04 14:43:03,7.50,static-server,<= 2.2.1,
GHSA-7fh5-64p2-3v2j,reviewed,medium,2023-09-30 00:31:01,2023-10-03 15:04:06,5.30,postcss,< 8.4.31,8.4.31
GHSA-m95q-7qp3-xv42,reviewed,low,2023-09-28 21:30:06,2023-10-02 16:26:03,,zod,<= 3.22.2,3.22.3
GHSA-qqvq-6xgj-jw8g,reviewed,high,2023-09-28 18:30:05,2023-10-05 17:31:05,8.80,electron,< 22.3.25,22.3.25
GHSA-qqvq-6xgj-jw8g,reviewed,high,2023-09-28 18:30:05,2023-10-05 17:31:05,8.80,electron,">= 24.0.0, < 24.8.5",24.8.5
GHSA-qqvq-6xgj-jw8g,reviewed,high,2023-09-28 18:30:05,2023-10-05 17:31:05,8.80,electron,">= 25.0.0, < 25.8.4",25.8.4
GHSA-qqvq-6xgj-jw8g,reviewed,high,2023-09-28 18:30:05,2023-10-05 17:31:05,8.80,electron,">= 26.0.0, < 26.2.4",26.2.4
GHSA-qqvq-6xgj-jw8g,reviewed,high,2023-09-28 18:30:05,2023-10-05 17:31:05,8.80,electron,">= 27.0.0-alpha.1, < 27.0.0-beta.8",27.0.0-beta.8
GHSA-jgw5-rp4p-qhp6,reviewed,medium,2023-09-28 06:30:02,2023-09-28 16:42:03,6.10,quill-mention,< 4.0.0,4.0.0
GHSA-4vjr-crvh-383h,reviewed,high,2023-09-27 20:17:00,2023-09-27 20:17:00,8.80,@napi-rs/image,< 1.7.0,1.7.0
GHSA-4q6p-r6v2-jvc5,reviewed,high,2023-09-27 20:16:00,2023-09-27 20:16:00,7.50,get-func-name,< 2.0.1,2.0.1
GHSA-45c3-c4c3-8rqg,reviewed,high,2023-09-22 00:30:03,2023-09-22 17:08:03,7.50,@frangoteam/fuxa,<= 1.1.12,
