,repository,start_commit_hash,start_commit_date,end_commit_hash,end_commit_date
0,b2wads/grimorio-ui,d4588aa52b659ece56de59b4a09daa589868287e,2019-06-10 15:07:22-03:00,232f7366c1f39ee6ad03135ae14026d51f9c85b0,2021-03-02 13:19:54-03:00
0,idena-network/idena-desktop,683928de6a184fb8f896d6ca635decef1e2ffcff,2019-06-01 06:16:29+05:00,1ec300847ae76ca843df0746ccf2cc535b321a92,2021-05-28 18:54:49+05:00
0,rand256/valetudo,32ff03f1e4fc926d606522b7848c0cd707cf78f9,2019-06-01 22:38:11+02:00,74b4e835477071bdf0bf6cb45d0e6586810e03c7,2021-05-18 20:35:21+03:00
0,vpython/glowscript,051ad6dd9ebb29044361db7d87218d98a824868c,2019-06-03 15:13:50-05:00,59a58e4150343655f15a6c0a2387b7a69d61c052,2021-05-18 15:16:14-07:00
0,hive-engine/nitrous,b2d3d5713cc503be3a1d335b61ae0c4bdc4d94b2,2019-06-01 20:40:40+00:00,201ec1f2c96a11d907de502d189c00b0179a5ea9,2021-05-22 15:50:42+00:00
0,grommet/grommet-designer,7adac9e17094fb490fbd4200e4b5cc4d7b0ea8df,2019-06-05 21:48:17-07:00,0f8fd5e808fcec16c4bbb52eadf604416e2be54b,2021-05-28 18:50:20-07:00
0,airswap/AirSwap.js,98157cdb782368bf70718197197cf19c10097f9e,2019-06-03 14:29:08-04:00,c5ae7975262c1ba5c00037e94ca59744f63d5a75,2021-03-29 08:58:36-04:00
0,wordproof/wordproof-timestamp,3c7a9e1a855ad9115563acbd6f6556aa4039d1a7,2019-06-03 18:26:34+02:00,aa7a3885b84475ce5e28e685a834fa7357586117,2021-05-31 15:45:54+02:00
0,JuanIrache/gopro-telemetry,f7c906fce0bba50ecd1e426d4b2afbdfe678a251,2019-06-04 17:33:21+02:00,19326c468a37daac6453f7a64786ebefa5da6642,2021-03-19 11:49:29+01:00
0,linode/developers,699d8f975bccbe2dfeb5ac5ccb72feb6037f55b1,2019-06-05 15:57:31-04:00,4c3969f7ea4f53856077ee15048788ddba42abbf,2021-05-29 02:04:34+00:00
0,mobxjs/mst-gql,d6d641ce130d67aed2a90a1c1c2bc201bf6ce94d,2019-06-01 10:00:53+02:00,7f2933a538abef815f9bffbff8ec04142920314c,2021-04-19 19:19:09-03:00
0,poanetwork/tokenbridge,369b90a6d5866408b3c679ca0f527166b999342c,2019-06-03 09:47:12-03:00,3cf184c39185abd0ea87d935ebce3c3f7633c1e8,2021-05-26 21:58:20+07:00
0,binary-com/deriv-app,faea974040ceaab8dc40b72f954cd759aa835102,2019-06-02 16:05:38+04:30,b34675711b259cdf18f8d08fa295727d04ba230a,2021-05-31 09:43:43+04:30
