,repository,package,fix_commit,dep_file_fix_version,min_satisfying_version,latest_stable_version,pr_version,pr_number,pr_date,fix_date,pr_fix_diff,inspired
0,11ways/hawkejs,codecov,4da569b5a8f00e46e474b33540df0af216e1e60f,~3.6.5,3.6.5,4.0.0-0,3.6.5,10,2020-02-19T17:58:07Z,2020-03-05 19:09:50+01:00,"15,0",True
1,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,1.7.9,1.7.9,1.7.8,83,2019-11-15T05:23:15Z,2020-05-13 09:15:59-04:00,"180,7",False
2,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,1.7.9,1.7.9,1.7.9,91,2020-05-12T22:37:26Z,2020-05-13 09:15:59-04:00,"0,14",False
3,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,1.7.9,1.7.9,1.7.8,83,2019-11-15T05:23:15Z,2020-05-13 09:15:59-04:00,"180,7",False
4,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,1.7.9,1.7.9,1.7.9,91,2020-05-12T22:37:26Z,2020-05-13 09:15:59-04:00,"0,14",False
5,AGProjects/sylk-webrtc,eslint,30539c923361524dfe604827f2fd6ade941790cc,^4.19.1,4.19.1,6.6.0,4.18.2,7,2019-10-31T18:33:15Z,2019-11-01 10:22:24+00:00,"0,15",False
6,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,^1.2.5,1.2.5,1.2.5,1.2.5,9,2020-03-16T03:43:38Z,2020-03-25 10:31:12+00:00,"9,6",False
7,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,^1.2.5,1.2.5,1.2.5,1.2.2,11,2020-03-19T12:20:43Z,2020-03-25 10:31:12+00:00,"5,22",False
8,AGProjects/sylk-webrtc,minimist,7b350c0cba55754b991852b6ffcb04c567a25e27,^1.2.5,1.2.5,1.2.5,1.2.5,9,2020-03-16T03:43:38Z,2020-03-19 12:40:33+00:00,"3,8",False
9,AGProjects/sylk-webrtc,minimist,7b350c0cba55754b991852b6ffcb04c567a25e27,^1.2.5,1.2.5,1.2.5,1.2.2,11,2020-03-19T12:20:43Z,2020-03-19 12:40:33+00:00,"0,0",False
10,AdguardTeam/AdguardBrowserExtension,lodash,65536d813f7fdb1756a88b21144530de0b792187,^4.17.11,4.17.11,4.17.15,4.17.13,1443,2019-07-13T03:56:20Z,2020-05-19 14:28:57+03:00,"311,7",False
11,AdguardTeam/Scriptlets,js-yaml,1fc5737d06bd6629484cd3d7ee58084fb0a9abae,^3.13.1,3.13.1,3.13.1,3.13.1,27,2019-06-06T05:15:54Z,2019-06-06 13:10:03+03:00,"0,4",False
12,AdguardTeam/Scriptlets,js-yaml,1fc5737d06bd6629484cd3d7ee58084fb0a9abae,^3.13.1,3.13.1,3.13.1,3.13.1,27,2019-06-06T05:15:54Z,2019-06-06 13:10:03+03:00,"0,4",False
13,Amsterdam/signals-frontend,eslint,a75999c32f45358a75db5c807f5d5e12e31cf571,^6.5.1,6.5.1,6.5.1,4.18.2,302,2019-08-30T14:04:59Z,2019-10-18 09:54:56+02:00,"48,17",False
14,Amsterdam/signals-frontend,minimist,0519f5c608ab9e8722eb6f7cd041c98a0008ac9b,^1.2.5,1.2.5,1.2.5,1.2.2,681,2020-03-17T04:32:45Z,2020-03-18 07:46:03+01:00,"1,2",False
15,AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,^2.2.4,2.2.4,5.0.0,2.2.4,68,2020-04-16T17:53:36Z,2020-10-11 17:47:59-04:00,"178,3",True
16,AresMUSH/ares-webportal,https-proxy-agent,abea55f8dac55074ce161873b6abfa80382b2d39,^2.2.4,2.2.4,5.0.0,2.2.4,68,2020-04-16T17:53:36Z,2020-10-11 17:47:59-04:00,"178,3",True
17,Backendless/Console-SDK,lodash,578e1ccf09dba6cee56a9c3539bd1e4ea6cf3600,^4.17.2,4.17.2,4.17.15,4.17.13,72,2019-10-28T15:34:50Z,2020-03-04 10:59:55+02:00,"127,17",False
18,BoostIO/Boostnote,eslint,27e403108cab69689bc160b8e9b38b7e865cf955,^4.18.2,4.18.2,6.8.0,4.18.2,3325,2019-10-29T04:30:13Z,2020-02-05 09:46:18+13:00,"98,16",True
19,C0deboy/jaki-jezyk-programowania,npm,97a0e213a54b51b8ff2930b80635d3504a68c48b,^6.14.1,6.14.1,6.14.1,6.13.4,6,2019-12-13T19:05:01Z,2020-03-03 17:27:44+01:00,"80,21",False
20,C0deboy/jaki-jezyk-programowania,npm,97a0e213a54b51b8ff2930b80635d3504a68c48b,^6.14.1,6.14.1,6.14.1,6.13.4,6,2019-12-13T19:05:01Z,2020-03-03 17:27:44+01:00,"80,21",False
21,C0deboy/jaki-jezyk-programowania,npm,97a0e213a54b51b8ff2930b80635d3504a68c48b,^6.14.1,6.14.1,6.14.1,6.13.4,6,2019-12-13T19:05:01Z,2020-03-03 17:27:44+01:00,"80,21",False
22,C0deboy/jaki-jezyk-programowania,jquery,b7c6bd01d071c88bd74753abdafc4db9eb106637,^3.5.1,3.5.1,3.5.1,3.5.0,8,2020-04-29T22:58:31Z,2020-08-02 10:58:49+02:00,"94,10",False
23,C0deboy/jaki-jezyk-programowania,jquery,b7c6bd01d071c88bd74753abdafc4db9eb106637,^3.5.1,3.5.1,3.5.1,3.5.0,8,2020-04-29T22:58:31Z,2020-08-02 10:58:49+02:00,"94,10",False
24,Caltech-IPAC/firefly,lodash,0a339dd8cb82f497f43ebb8c1b785b3233ede541,~4.17,4.17.0,4.17.15,4.17.13,890,2019-10-16T22:33:00Z,2020-02-04 15:54:49-08:00,"111,1",False
25,ChildMindInstitute/mindlogger-app,lodash-es,117e447ac1c7ac5943695acf8b12007383728bf4,^4.17.15,4.17.15,4.17.15,4.17.15,252,2019-08-20T19:26:02Z,2019-08-26 09:56:55-04:00,"5,18",False
26,City-of-Helsinki/mvj-ui,codecov,58a46c04b8793eb30decada60c040faaa67d9c91,^3.5.0,3.5.0,4.0.0-0,3.6.5,304,2020-02-19T18:19:16Z,2020-03-04 10:08:29+02:00,"13,13",False
27,CivicActions/civicactions.com,lodash,5bdab8c14fac065816820899fc1d6c9d009f2eed,^4.17.10,4.17.10,4.17.15,4.17.13,597,2019-08-15T19:12:41Z,2019-08-15 14:48:04-07:00,"0,2",False
28,CivicActions/civicactions.com,axios,5bdab8c14fac065816820899fc1d6c9d009f2eed,^0.18.0,0.18.0,0.19.0,0.18.1,598,2019-08-15T19:12:47Z,2019-08-15 14:48:04-07:00,"0,2",False
29,DBCDK/content-first,knex,3365dd3534d88b86cde39096f932ecf115002d38,>=0.19.5,0.19.5,0.20.8,0.19.5,1180,2019-10-21T16:44:01Z,2020-01-21 10:29:42+01:00,"91,16",True
30,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,^4.13.10,4.13.10,6.0.0,5.15.1,808,2019-11-06T17:18:08Z,2020-05-13 16:57:10-04:00,"189,3",False
31,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,^4.13.10,4.13.10,6.0.0,4.44.3,809,2019-11-06T17:53:43Z,2020-05-13 16:57:10-04:00,"189,3",False
32,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,^4.13.10,4.13.10,6.0.0,5.15.1,808,2019-11-06T17:18:08Z,2020-05-13 16:57:10-04:00,"189,3",False
33,Datawheel/canon,sequelize,2f3476a7de99c7b3cd40eb2e92428bd7f650c983,^4.13.10,4.13.10,6.0.0,4.44.3,809,2019-11-06T17:53:43Z,2020-05-13 16:57:10-04:00,"189,3",False
34,ErikVerheul/OneBacklog,jquery,37919f166bccf13683924228c37365167a9d625c,^3.5.0,3.5.0,3.5.1,3.5.0,2,2020-04-30T01:23:26Z,2020-05-07 11:03:01+02:00,"7,7",True
35,ErikVerheul/OneBacklog,jquery,37919f166bccf13683924228c37365167a9d625c,^3.5.0,3.5.0,3.5.1,3.5.0,2,2020-04-30T01:23:26Z,2020-05-07 11:03:01+02:00,"7,7",True
36,ExploreConsulting/netsuite-fasttrack-toolkit-ss2,lodash,85e3cfc0d79a7532e94df870eac14fc8c832026b,^4.17.11,4.17.11,4.17.15,4.17.13,26,2019-11-05T22:04:00Z,2020-02-18 12:19:25-08:00,"104,22",False
37,Faithlife/styled-ui,esm,feaa2131daeb8220b7c7eedb15c74fbd91356c5d,^3.0.24,3.0.24,3.2.25,3.1.0,271,2019-10-28T21:44:03Z,2020-03-04 14:33:36-08:00,"128,0",False
38,GMOD/jbrowse,dojox,6945723678bb1b3c823bd975ac9330620463ba76,^1.14.2,1.14.2,1.16.2,1.16.1,1468,2020-02-13T22:21:45Z,2020-03-18 23:11:33-04:00,"34,4",False
39,GMOD/jbrowse,dojox,6945723678bb1b3c823bd975ac9330620463ba76,^1.14.2,1.14.2,1.16.2,1.16.2,1481,2020-03-10T18:06:20Z,2020-03-18 23:11:33-04:00,"8,9",False
40,GMOD/jbrowse,yarn,6945723678bb1b3c823bd975ac9330620463ba76,^1.16.0,1.16.0,1.22.4,1.22.0,1470,2020-02-14T23:40:19Z,2020-03-18 23:11:33-04:00,"33,3",False
41,GMOD/jbrowse,dojo,6945723678bb1b3c823bd975ac9330620463ba76,^1.14.2,1.14.2,1.16.2,1.16.2,1482,2020-03-10T18:06:21Z,2020-03-18 23:11:33-04:00,"8,9",False
42,Hacker0x01/react-datepicker,webpack-dev-server,0494a5baf217d44de90883fe41528b423601d248,^3.8.0,3.8.0,3.8.0,3.1.11,1852,2019-08-21T09:30:45Z,2019-08-21 12:59:40+02:00,"0,1",False
43,HumanRightsMeasurementInitiative/hrmi-dataportal,minimist,0a30e8e4f33f0d4ce158a77474c19bb44f6eedea,^1.2.5,1.2.5,1.2.5,1.2.5,119,2020-04-04T20:09:32Z,2020-05-04 13:12:11+02:00,"29,15",False
44,IBM/openapi-validator,lodash,17735d0b4ee96afd250192fbcc58bb3ed8b14d8b,^4.17.15,4.17.15,4.17.15,4.17.13,113,2019-11-20T02:50:34Z,2019-12-15 15:11:53-08:00,"25,20",False
45,ICIJ/datashare-client,lodash,c7c2baa7cef34bcf210adba189b51d32b443c69a,^4.17.14,4.17.14,4.17.14,4.17.13,23,2019-07-12T18:06:05Z,2019-07-17 16:39:05+00:00,"4,22",False
