,repository,package,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
0,11ways/hawkejs,codecov,4da569b5a8f00e46e474b33540df0af216e1e60f,~3.6.5,,4.0.0-0,4.0.0-0,3.6.5,3.5.0,2020-03-05 19:09:50+01:00,2017-12-05T13:42:57.631Z,2017-12-05T13:42:57.631Z,2020-02-19T17:58:07Z,10,
1,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,,2.0.0-alpha.6.dev,1.7.9,1.7.8,1.5.7,2020-05-13 09:15:59-04:00,2015-02-11T01:04:00.318Z,2019-11-19T09:30:03.381Z,2019-11-15T05:23:15Z,83,
2,18F/fedramp-dashboard,angular,210d563a25b6ac50849109540b279616e598a1c2,1.7.9,,2.0.0-alpha.6.dev,1.7.9,1.7.9,1.5.7,2020-05-13 09:15:59-04:00,2015-02-11T01:04:00.318Z,2019-11-19T09:30:03.381Z,2020-05-12T22:37:26Z,91,
3,2600hz/monster-ui,acorn,0cbda229a4e9d0f44ed3c7f1b6f0e96184baa123,,6.4.1,7.1.1,7.1.1,6.4.1,6.3.0,2020-04-17 18:35:42-07:00,2020-03-01T12:39:27.836Z,2020-03-01T12:39:27.836Z,2020-03-14T09:37:32Z,596,package-lock.json
4,AGProjects/sylk-webrtc,js-yaml,9e24e6c10bc77830824c430b7b968eef1c5038d5,,3.13.1,3.13.1,3.13.1,3.13.1,3.12.0,2019-10-31 19:52:20+00:00,2019-04-05T16:15:22.531Z,2019-04-05T16:15:22.531Z,2019-10-31T18:33:11Z,6,yarn.lock
5,AGProjects/sylk-webrtc,eslint,30539c923361524dfe604827f2fd6ade941790cc,^4.19.1,2.13.1,6.6.0,6.6.0,4.18.2,3.19.0,2019-11-01 10:22:24+00:00,2019-10-25T18:33:26.991Z,2019-10-25T18:33:26.991Z,2019-10-31T18:33:15Z,7,yarn.lock
6,AGProjects/sylk-webrtc,eslint,30539c923361524dfe604827f2fd6ade941790cc,^4.19.1,2.13.1,6.6.0,6.6.0,6.6.0,4.19.1,2019-11-01 10:22:24+00:00,2019-10-25T18:33:26.991Z,2019-10-25T18:33:26.991Z,2019-11-01T10:38:44Z,8,yarn.lock
7,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,^1.2.5,0.0.8,1.2.5,1.2.5,1.2.5,1.2.0,2020-03-25 10:31:12+00:00,2020-03-12T22:16:19.463Z,2020-03-12T22:16:19.463Z,2020-03-16T03:43:38Z,9,yarn.lock
8,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,^1.2.5,0.0.8,1.2.5,1.2.5,1.2.2,1.2.0,2020-03-25 10:31:12+00:00,2020-03-12T22:16:19.463Z,2020-03-12T22:16:19.463Z,2020-03-19T12:20:43Z,11,yarn.lock
9,AGProjects/sylk-webrtc,acorn,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,,5.7.3,7.1.1,7.1.1,5.7.4,5.7.3,2020-03-25 10:31:12+00:00,2020-03-01T12:39:27.836Z,2020-03-01T12:39:27.836Z,2020-03-19T12:20:41Z,10,yarn.lock
