,repository,package,fix_commit,lock_file_fix_version,latest_stable_version,pr_version,pr_number,pr_date,fix_date,pr_fix_diff,inspired
0,2600hz/monster-ui,acorn,0cbda229a4e9d0f44ed3c7f1b6f0e96184baa123,6.4.1,7.1.1,6.4.1,596,2020-03-14T09:37:32Z,2020-04-17 18:35:42-07:00,"34,15",True
1,AGProjects/sylk-webrtc,js-yaml,9e24e6c10bc77830824c430b7b968eef1c5038d5,3.13.1,3.13.1,3.13.1,6,2019-10-31T18:33:11Z,2019-10-31 19:52:20+00:00,"0,1",False
2,AGProjects/sylk-webrtc,eslint,30539c923361524dfe604827f2fd6ade941790cc,2.13.1,6.6.0,4.18.2,7,2019-10-31T18:33:15Z,2019-11-01 10:22:24+00:00,"0,15",False
3,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,0.0.8,1.2.5,1.2.5,9,2020-03-16T03:43:38Z,2020-03-25 10:31:12+00:00,"9,6",False
4,AGProjects/sylk-webrtc,minimist,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,0.0.8,1.2.5,1.2.2,11,2020-03-19T12:20:43Z,2020-03-25 10:31:12+00:00,"5,22",False
5,AGProjects/sylk-webrtc,acorn,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,5.7.3,7.1.1,5.7.4,10,2020-03-19T12:20:41Z,2020-03-25 10:31:12+00:00,"5,22",False
6,AGProjects/sylk-webrtc,minimist,7b350c0cba55754b991852b6ffcb04c567a25e27,0.0.8,1.2.5,1.2.5,9,2020-03-16T03:43:38Z,2020-03-19 12:40:33+00:00,"3,8",False
7,AGProjects/sylk-webrtc,minimist,7b350c0cba55754b991852b6ffcb04c567a25e27,0.0.8,1.2.5,1.2.2,11,2020-03-19T12:20:43Z,2020-03-19 12:40:33+00:00,"0,0",False
8,AdguardTeam/AdguardBrowserExtension,js-yaml,65536d813f7fdb1756a88b21144530de0b792187,3.13.1,3.13.1,3.13.1,1411,2019-06-06T06:04:56Z,2020-05-19 14:28:57+03:00,"348,5",False
9,AdguardTeam/AdguardBrowserExtension,lodash,65536d813f7fdb1756a88b21144530de0b792187,4.17.10,4.17.15,4.17.13,1443,2019-07-13T03:56:20Z,2020-05-19 14:28:57+03:00,"311,7",False
10,AdguardTeam/AdguardBrowserExtension,eslint-utils,65536d813f7fdb1756a88b21144530de0b792187,1.4.3,2.0.0,1.4.2,1469,2019-08-26T22:28:45Z,2020-05-19 14:28:57+03:00,"266,13",False
11,AdguardTeam/AdguardBrowserExtension,mixin-deep,65536d813f7fdb1756a88b21144530de0b792187,1.3.2,2.0.1,1.3.2,1490,2019-09-25T07:29:52Z,2020-05-19 14:28:57+03:00,"237,3",True
12,AdguardTeam/AdguardBrowserExtension,https-proxy-agent,65536d813f7fdb1756a88b21144530de0b792187,2.2.4,5.0.0,2.2.4,1625,2020-04-16T13:03:02Z,2020-05-19 14:28:57+03:00,"32,22",True
