,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
0,11ways/hawkejs,codecov,GHSA-5q88-cjfq-g2mh,4da569b5a8f00e46e474b33540df0af216e1e60f,e89e468f9c598d0d8548d6e1c0ab27f72c147d35,2020-03-05 19:09:50+01:00,2020-03-05 19:09:50+01:00,GITHUB,1,0,1,0,1,"15,0"
1,18F/fedramp-dashboard,angular,GHSA-89mq-4x47-5v83,210d563a25b6ac50849109540b279616e598a1c2,df3fe734e3f3d71322205b49aadb90c8037ae28a,2020-05-13 09:15:59-04:00,2020-05-13 09:15:59-04:00,GITHUB,1,0,0,0,0,"180,7"
2,18F/fedramp-dashboard,angular,GHSA-28hp-fgcr-2r4h,210d563a25b6ac50849109540b279616e598a1c2,df3fe734e3f3d71322205b49aadb90c8037ae28a,2020-05-13 09:15:59-04:00,2020-05-13 09:15:59-04:00,GITHUB,1,0,0,0,0,"180,7"
3,2600hz/monster-ui,acorn,GHSA-6chw-6frg-f759,0cbda229a4e9d0f44ed3c7f1b6f0e96184baa123,324bd82a482bca4592992b94d5f23ba3f0ee8399,2020-04-17T18:35:42-07:00,2020-04-17T18:35:42-07:00,SOFTWARE_HERITAGE,0,1,0,1,1,"34,15"
4,AGProjects/sylk-webrtc,js-yaml,GHSA-8j8c-7jfh-h6hx,9e24e6c10bc77830824c430b7b968eef1c5038d5,793fcdb8e140274f6d7f9668b1cb2aeca5899ecd,2019-10-31 19:52:20+00:00,2019-10-31 19:52:20+00:00,GITHUB,0,1,0,0,0,"0,1"
5,AGProjects/sylk-webrtc,js-yaml,GHSA-2pr6-76vf-7546,9e24e6c10bc77830824c430b7b968eef1c5038d5,793fcdb8e140274f6d7f9668b1cb2aeca5899ecd,2019-10-31 19:52:20+00:00,2019-10-31 19:52:20+00:00,GITHUB,0,1,0,0,0,"0,1"
6,AGProjects/sylk-webrtc,eslint,GHSA-jcgq-xh2f-2hfm,30539c923361524dfe604827f2fd6ade941790cc,9e24e6c10bc77830824c430b7b968eef1c5038d5,2019-11-01 10:22:24+00:00,2019-11-01 10:22:24+00:00,GITHUB,1,1,0,0,0,"0,15"
7,AGProjects/sylk-webrtc,minimist,GHSA-vh95-rmgr-6w4m,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,25fdaa93e3c8243c4850a654e8279296758bb51b,2020-03-25 10:31:12+00:00,2020-03-25 10:31:12+00:00,GITHUB,1,1,0,0,0,"9,6"
8,AGProjects/sylk-webrtc,acorn,GHSA-6chw-6frg-f759,de156d1f33f46ea07907b2ff8ed8e73fd16d9f1b,25fdaa93e3c8243c4850a654e8279296758bb51b,2020-03-25 10:31:12+00:00,2020-03-25 10:31:12+00:00,GITHUB,0,1,0,0,0,"5,22"
9,AGProjects/sylk-webrtc,minimist,GHSA-vh95-rmgr-6w4m,7b350c0cba55754b991852b6ffcb04c567a25e27,a3280ac19508ab9904d1465e5c5da00a8096f39a,2020-03-19 12:40:33+00:00,2020-03-19 12:40:33+00:00,GITHUB,1,1,0,0,0,"3,8"
