repository,first_commit_date,size,unit
b2wads/grimorio-ui,2018-06-27 11:14:03-03:00,36.89,MiB
idena-network/idena-desktop,2019-02-04 15:41:42+05:00,30.17,MiB
rand256/valetudo,2018-07-12 09:07:44+02:00,7.33,MiB
vpython/glowscript,2014-12-17 17:49:07-07:00,96.39,MiB
hive-engine/nitrous,2016-07-28 09:58:41-04:00,77.71,MiB
grommet/grommet-designer,2019-05-16 07:35:02-07:00,5.76,MiB
airswap/AirSwap.js,2019-05-14 12:59:00-04:00,3.26,MiB
wordproof/wordproof-timestamp,2019-05-13 10:48:24+02:00,5.51,MiB
JuanIrache/gopro-telemetry,2019-05-13 19:28:43+02:00,1.32,MiB
linode/developers,2018-07-03 10:59:15-04:00,282.44,MiB
mobxjs/mst-gql,2019-05-06 20:17:05+02:00,6.28,MiB
poanetwork/tokenbridge,2019-05-06 11:55:17+02:00,19.60,MiB
binary-com/deriv-app,2019-07-03 17:31:27+08:00,1.89,GiB
RedHatInsights/frontend-components,2018-05-29 13:28:03-04:00,32.46,MiB
rage/concepts,2019-05-06 12:31:56+03:00,33.47,MiB
replicatedhq/kotsadm,2019-05-02 14:12:27-07:00,90.24,MiB
gab-ai-inc/defiant-browser,2016-11-09 13:23:09-07:00,2.95,MiB
voluntarily/vly2,2019-04-27 06:27:31+12:00,56.84,MiB
HumanRightsMeasurementInitiative/hrmi-dataportal,2019-04-25 15:29:02+12:00,18.67,MiB
Terralego/terra-front,2018-11-05 11:15:47+01:00,6.02,MiB
yafp/ttth,2019-04-23 15:18:58+02:00,12.42,MiB
DeyLak/redux-restify,2017-09-07 10:12:04+00:00,2.03,MiB
biuuu/ShinyColors,2019-04-22 16:33:30+08:00,66.98,MiB
aws-amplify/community,2019-04-17 18:49:50-07:00,294.40,MiB
casual-simulation/casualos,2018-11-14 13:35:53-05:00,66.01,MiB
carbon-design-system/gatsby-theme-carbon,2019-04-10 16:14:12-05:00,81.34,MiB
ministryofjustice/hmpps-book-secure-move-frontend,2019-04-11 16:44:49+01:00,192.75,MiB
offen/offen,2019-04-10 16:58:26+02:00,12.49,MiB
w3f/polkadot-deployer,2019-04-10 16:40:18+02:00,212.82,MiB
LIu-FengMing/codegame-,2019-04-09 14:01:58+08:00,314.82,MiB
zebrunner/reporting-ui,2019-04-08 11:25:16+03:00,8.28,MiB
dekdevy/hordes-loc,2019-04-07 12:56:31+02:00,8.79,MiB
accordproject/cicero-ui,2019-04-04 17:18:21-04:00,4.36,MiB
SofthouseVxo/Education,2019-04-04 15:25:29+02:00,68.03,MiB
spring-io/dataflow.spring.io,2019-04-08 17:22:47+02:00,74.38,MiB
glin/reactable,2019-03-31 17:28:58-05:00,31.46,MiB
hktrpg/TG.line.Discord.Roll.Bot,2016-11-30 01:47:09+08:00,323.04,MiB
wanbo-chain/h2-elements,2015-08-28 11:06:50+08:00,1.59,MiB
react-native-tvos/react-native-tvos,2015-01-29 17:10:49-08:00,302.63,MiB
rainbow-me/rainbow,2018-03-24 16:22:55-05:00,188.45,MiB
the-labo/the,,-1,
LeedsJS/website,2019-03-15 14:29:04+00:00,11.16,MiB
brainstormforce/ultimate-addons-for-gutenberg,2018-01-13 02:14:57-05:00,1.13,GiB
Samsung/TAU,2019-03-06 13:05:36+09:00,154.26,MiB
typpo/quickchart,2019-03-04 10:19:48-08:00,1.48,MiB
steedos/steedos-platform,2020-07-02 18:19:23+08:00,1.75,GiB
Yoast/javascript,2015-03-23 14:50:16+01:00,76.32,MiB
jsxcad/JSxCAD,2019-03-04 22:59:34+09:00,817.17,MiB
bcye/Hello-Goodbye,2019-03-01 22:52:53-08:00,45.63,MiB
codypearce/material-bread,2019-01-20 03:43:47-08:00,21.94,MiB
zilpay/zil-pay,2019-02-26 16:08:01+05:00,34.16,MiB
uc-cdis/guppy,2019-02-26 14:04:24-06:00,7.35,MiB
reactjs/gu.reactjs.org,2013-05-29 12:54:02-07:00,124.54,MiB
viz-centric/flair-bi,2019-02-23 09:06:51+00:00,105.48,MiB
viz-centric/flair-notifications,2019-02-23 09:13:43+00:00,1.57,MiB
theDavidBarton/puppeteer-daily-menu-scraper,2019-02-24 13:43:20+01:00,1.12,MiB
drzzle-app/picazzo,2018-04-24 13:55:30-05:00,14.22,MiB
react-native-community/rn-diff-purge,2019-02-26 10:16:37+01:00,683.84,MiB
AdguardTeam/Scriptlets,2018-12-28 21:47:18+03:00,10.83,MiB
RedHatInsights/tower-analytics-frontend,2018-05-21 10:49:11-04:00,19.87,MiB
City-of-Helsinki/servicemap-ui,2019-02-19 12:07:08+02:00,24.89,MiB
team-friendo/signalboost,2018-09-26 18:18:49-07:00,22.58,MiB
den19980107/nkust-online-study,2019-02-14 00:47:17+08:00,304.42,MiB
goabstract/Awesome-Design-Tools,2019-02-12 15:55:31+02:00,18.89,MiB
GetStream/stream-chat-react,2019-04-09 13:41:52+02:00,169.63,MiB
valueflows/vf-graphql,2019-02-11 15:06:58+10:00,887.54,KiB
kiwiirc/kiwibnc,2018-12-29 19:18:00+00:00,1003.45,KiB
OvidijusParsiunas/myvision,2019-02-09 16:09:37+00:00,60.02,MiB
blobfysh/Lootcord,2019-02-09 11:50:12-05:00,4.49,MiB
reactjs/reactjs.org-translation,2017-09-17 11:43:24+09:00,1.18,MiB
Coding-Coach/find-a-mentor,2019-02-04 16:51:34+01:00,6.41,MiB
