repository,start_commits_total,end_commits_total,total_authors,package.json,mocha,jest,jasmine,karma,puppeteer,nightwatch,cypress,playwright,selenium-webdriver,github_actions,circleci,travisci,appveyor,jenkins,gitlab,azure,size,age
b2wads/grimorio-ui,401,1028,26,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,36.89,1069
idena-network/idena-desktop,132,813,36,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,30.17,847
rand256/valetudo,210,711,79,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,7.33,1054
vpython/glowscript,936,1356,15,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,96.39,2357
hive-engine/nitrous,4013,5962,146,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,77.71,1768
grommet/grommet-designer,109,860,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.76,746
airswap/AirSwap.js,103,1198,12,1,0,1,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,3.26,748
wordproof/wordproof-timestamp,103,963,8,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.51,749
JuanIrache/gopro-telemetry,212,1005,4,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.32,749
linode/developers,161,1525,42,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,282.44,1063
mobxjs/mst-gql,111,587,44,1,0,1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,6.28,756
poanetwork/tokenbridge,126,469,15,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,19.6,756
binary-com/deriv-app,566,17383,117,1,0,0,0,0,0,0,0,0,0,-1,-1,26,-1,-1,-1,-1,1935.36,698
RedHatInsights/frontend-components,799,3680,69,1,0,1,0,0,0,0,0,0,0,-1,-1,5,-1,-1,-1,-1,32.46,1098
rage/concepts,153,2508,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,33.47,756
replicatedhq/kotsadm,175,3455,21,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,90.24,760
gab-ai-inc/defiant-browser,1276,3121,73,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,146,-1,-1,2.95,1664
voluntarily/vly2,541,5953,149,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,56.84,765
HumanRightsMeasurementInitiative/hrmi-dataportal,246,4862,11,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,18.67,767
Terralego/terra-front,713,1616,27,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,12,-1,6.02,938
yafp/ttth,170,622,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,12.42,769
DeyLak/redux-restify,212,331,8,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.03,1362
biuuu/ShinyColors,123,398,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,66.98,770
aws-amplify/community,370,1076,90,1,0,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,294.4,775
casual-simulation/casualos,2148,7911,15,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,68,-1,-1,66.01,929
carbon-design-system/gatsby-theme-carbon,400,1419,50,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,81.34,782
ministryofjustice/hmpps-book-secure-move-frontend,132,4364,20,1,1,0,0,0,0,0,0,0,0,-1,74,-1,-1,-1,-1,-1,192.75,781
offen/offen,25,2218,10,0,0,0,0,0,0,0,0,0,0,-1,156,-1,-1,-1,-1,-1,12.49,782
w3f/polkadot-deployer,358,1437,13,1,1,0,0,0,0,0,0,0,0,-1,6,-1,-1,-1,-1,-1,212.82,782
LIu-FengMing/codegame-,488,790,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,314.82,783
zebrunner/reporting-ui,357,1715,23,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.28,784
dekdevy/hordes-loc,2946,5325,91,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,8.79,785
accordproject/cicero-ui,140,806,47,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,4.36,788
SofthouseVxo/Education,128,547,11,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,68.03,788
spring-io/dataflow.spring.io,180,498,31,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,74.38,784
glin/reactable,166,803,5,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,31.46,792
hktrpg/TG.line.Discord.Roll.Bot,537,2397,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,323.04,1643
wanbo-chain/h2-elements,445,629,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.59,2103
react-native-tvos/react-native-tvos,16984,22648,2825,1,0,0,0,0,0,0,0,0,0,-1,58,-1,-1,-1,-1,-1,302.63,2314
rainbow-me/rainbow,1293,5540,30,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,188.45,1164
the-labo/the,315,1376,7,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1.0,-1
LeedsJS/website,115,211,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,11.16,808
brainstormforce/ultimate-addons-for-gutenberg,2428,5416,34,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1157.12,1234
Samsung/TAU,95,1052,22,1,0,0,0,1,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,154.26,817
typpo/quickchart,129,422,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.48,819
steedos/steedos-platform,825,8452,32,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1792.0,333
Yoast/javascript,10647,14805,111,1,0,0,0,0,0,0,0,0,0,-1,-1,6,-1,-1,-1,-1,76.32,2261
jsxcad/JSxCAD,607,2999,7,1,0,0,0,0,0,0,0,0,0,-1,-1,9,-1,-1,-1,-1,817.17,819
bcye/Hello-Goodbye,163,314,21,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,45.63,822
codypearce/material-bread,582,1148,18,1,0,1,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,21.94,862
zilpay/zil-pay,309,1771,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,34.16,825
uc-cdis/guppy,210,340,18,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.35,825
reactjs/gu.reactjs.org,4407,5056,1516,1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,124.54,2924
viz-centric/flair-bi,441,2375,26,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,105.48,828
viz-centric/flair-notifications,103,1113,20,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,4,1.57,828
theDavidBarton/puppeteer-daily-menu-scraper,133,282,2,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.12,827
drzzle-app/picazzo,123,370,4,1,1,0,0,1,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,14.22,1133
react-native-community/rn-diff-purge,534,666,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,683.84,825
AdguardTeam/Scriptlets,232,981,13,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,10.83,885
RedHatInsights/tower-analytics-frontend,102,1179,24,1,0,1,0,0,0,0,0,0,0,-1,-1,7,-1,-1,-1,-1,19.87,1106
City-of-Helsinki/servicemap-ui,470,2434,14,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,24.89,832
team-friendo/signalboost,365,2534,19,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,22.58,978
den19980107/nkust-online-study,557,756,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,304.42,837
goabstract/Awesome-Design-Tools,955,1649,245,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,18.89,839
GetStream/stream-chat-react,137,3356,34,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,169.63,783
valueflows/vf-graphql,167,447,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.87,840
kiwiirc/kiwibnc,147,519,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.98,884
OvidijusParsiunas/myvision,166,1445,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,60.02,842
blobfysh/Lootcord,117,975,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.49,842
reactjs/reactjs.org-translation,352,416,105,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.18,1352
Coding-Coach/find-a-mentor,493,789,347,1,0,0,0,0,0,0,1,0,0,-1,-1,13,-1,-1,-1,-1,6.41,847
internetarchive/iaux,267,645,25,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,34.65,945
halfnelson/svelte-native,196,456,26,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.54,850
politics-rewired/Spoke,3519,5283,55,1,0,1,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,-1,20.79,1870
googleads/publisher-ads-lighthouse-plugin,154,329,16,1,1,0,0,0,0,0,0,0,0,-1,-1,4,-1,-1,-1,-1,2.08,1110
SAP/ui5-webcomponents,384,1976,66,1,0,0,0,0,0,0,0,0,0,-1,-1,7,-1,-1,-1,-1,3543.04,840
algenty/grafana-flowcharting,252,1006,9,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,234.11,858
ventureum/Chainsfr,423,1456,9,1,0,0,0,0,0,0,0,0,0,-1,-1,14,-1,-1,-1,-1,7.91,858
athomasoriginal/blog,105,415,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.99,863
didi/chameleon,431,1119,19,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,129.71,864
RecallGraph/RecallGraph,174,605,4,1,0,0,0,0,0,0,0,0,0,-1,-1,69,-1,-1,-1,-1,3.88,891
beaverbuilder/assistant,1069,3412,6,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,17.81,868
GoodDollar/GoodServer,341,1608,25,1,0,0,0,0,0,0,0,0,0,-1,-1,18,-1,-1,-1,-1,72.77,867
protectwise/troika,504,1025,9,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,14.31,1723
istreamlabs/pebble,264,582,14,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.44,867
TaleLin/lin-ui,192,936,26,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.29,874
