repository,continuous_integration,documentation,unit_test,community,history,license,management
kiranbandi/cbd-dashboard-ui,0,0.01862638701246927,0.0,2,21.647058823529417,1,0.05882352941176471
b2wads/grimorio-ui,0,0.0674254930923625,0.2121686151819529,4,41.68181818181818,1,0.045454545454545456
idena-network/idena-desktop,1,0.010709583603529249,0.005328530151225187,2,40.0,1,0.06666666666666668
L5vD5/filledbottle_admin,0,0.027641002685765442,0.003634161114476075,4,27.484848484848484,1,0.030303030303030307
luisivan/blog,1,0.11072819898112077,0.19335869941196815,4,28.44,1,0.02
rand256/valetudo,1,0.037726516480057565,0.0,9,26.59090909090909,1,0.045454545454545456
seungdols/seungdols.dev,1,0.000607924474324131,0.0,4,16.6,1,0.06666666666666668
ehmicky/test-each,0,0.011372867587327376,0.0,1,36.66666666666666,1,0.08333333333333333
vpython/glowscript,0,0.15272097982055852,0.0,2,17.846153846153847,1,0.015384615384615384
lannonbr/gatsby-github-stats,0,0.0,0.0,1,802.0,1,0.08333333333333333
reactjs/hu.reactjs.org,0,0.02047035978208102,0.0,442,61.481927710843365,1,0.012048192771084338
hive-engine/nitrous,0,0.024626345543250987,0.02549270805026075,20,123.54347826086956,0,0.021739130434782608
SAP/fundamental-styles,1,0.017476704171983142,0.0,7,82.0,1,0.03225806451612903
grommet/grommet-designer,0,0.020318969483208098,0.0010491344640671447,1,52.16666666666666,1,0.08333333333333333
phil-r/stats,1,0.0011745705476435178,0.0,3,9.473684210526317,1,0.05263157894736842
videomark/videomark,0,0.057386445049434014,0.0,2,61.33333333333334,0,0.06666666666666668
airswap/AirSwap.js,0,0.03374327440430438,0.0210989010989011,2,94.33333333333331,1,0.08333333333333333
wordproof/wordproof-timestamp,0,0.0412657934392025,0.0,1,61.91666666666666,1,0.08333333333333333
JuanIrache/gopro-telemetry,0,0.0565076999503229,0.11582608695652175,1,65.58333333333333,1,0.08333333333333333
themeum/qubely,0,0.02712668794919508,0.0,5,102.91666666666669,1,0.08333333333333333
linode/developers,0,0.016838424733161574,0.0,6,48.90909090909091,1,0.045454545454545456
SparkEdUAB/sparked-server,1,0.052097428958051424,0.2761596548004315,3,61.75,1,0.08333333333333333
zhaoolee/ChineseBQB,0,0.022601001090801588,0.0,2,34.72727272727273,0,0.09090909090909093
mobxjs/mst-gql,0,0.06771276184586844,0.2773092763286919,6,38.833333333333336,1,0.08333333333333333
poanetwork/tokenbridge,0,0.03168866100697655,0.2531185031185031,4,29.0,1,0.08333333333333333
binary-com/deriv-app,1,0.007142214252580709,0.1038242761824158,17,286.72549019607845,0,0.0196078431372549
RedHatInsights/frontend-components,1,0.007904316172646905,0.3115937049000069,8,81.47826086956522,1,0.043478260869565216
rage/concepts,0,0.00626818492043536,0.0,2,204.25,1,0.08333333333333333
CodyJasonBennett/portfolio,0,0.008108108108108109,0.0,2,35.166666666666664,1,0.08333333333333333
replicatedhq/kotsadm,0,0.017326840613416668,0.006934812760055479,6,287.9166666666667,1,0.08333333333333333
gab-ai-inc/defiant-browser,0,0.0416784004505773,0.049433962264150935,11,73.61904761904762,1,0.023809523809523808
tacoinfra/developers.tezos.com,0,0.0013614703880190605,0.0,3,39.66666666666666,1,0.08333333333333333
voluntarily/vly2,0,0.044018723157843935,0.0,9,433.6923076923077,1,0.07692307692307693
reactjs/ca.reactjs.org,0,0.02047035978208102,0.0,469,59.819277108433745,1,0.012048192771084338
boxcrittersmods/bc-mod-api,0,0.0117151671808555,0.0,2,77.46153846153847,1,0.07692307692307693
jpvalery/pricingpages,0,0.007868852459016393,0.0,2,29.26315789473684,1,0.05263157894736842
HumanRightsMeasurementInitiative/hrmi-dataportal,1,0.04872682468904013,0.0,2,196.84615384615384,1,0.07692307692307693
reactjs/mn.reactjs.org,0,0.02047035978208102,0.0,444,61.77108433734939,1,0.012048192771084338
Terralego/terra-front,0,0.009993915143916066,0.14644587665239686,6,82.3888888888889,1,0.05555555555555555
yafp/ttth,0,0.16621590294413105,0.012362178416304713,1,45.69230769230769,1,0.07692307692307693
incognitochain/incognito-wallet,0,0.02380924022439524,0.0,5,184.38461538461542,0,0.07692307692307693
DeyLak/redux-restify,0,0.013812625763104942,0.3064050778995961,1,9.375,1,0.03125
piraces/gatsby-blog,1,0.0006052436105532477,0.3004524886877828,2,78.02,1,0.02
biuuu/ShinyColors,0,0.024592220828105398,0.0,3,25.76923076923077,1,0.07692307692307693
linonetwo/wiki,0,0.015490533562822718,0.0,1,47.92307692307693,0,0.07692307692307693
aws-amplify/community,0,0.014957650027031897,0.0026942074539739558,10,69.92307692307692,0,0.07692307692307693
ikrima/gamedevguide,0,0.01810097532989099,0.02608449106889708,2,21.444444444444443,0,0.05555555555555555
adobe/alloy,1,0.10901957595592868,0.5398595161110492,6,88.26666666666668,1,0.06666666666666668
thirdandgrove/thirdandgrove-com-gatsby,1,0.02215605569664594,0.00993676603432701,4,94.3846153846154,1,0.07692307692307693
jhwohlgemuth/tomo-cli,1,0.0015232123102238678,0.1803850626695956,1,50.769230769230774,1,0.07692307692307693
brave/ethereum-remote-client,0,0.03134567471878403,0.34995547640249336,11,183.78947368421046,1,0.017543859649122806
casual-simulation/casualos,0,0.08392194502085208,0.0,2,321.27777777777777,1,0.05555555555555555
carbon-design-system/gatsby-theme-carbon,0,0.0401670146137787,0.0,2,73.69230769230771,1,0.07692307692307693
Androz2091/AtlantaBot,0,0.1032292190652015,0.024903808995749115,2,101.69230769230771,1,0.07692307692307693
codeforpdx/dwellingly-app,0,0.024622165154170497,0.2855837748949388,8,40.63636363636363,0,0.045454545454545456
syncpoint/ODIN,0,0.019527736131934037,0.04039078448527268,2,89.69230769230771,1,0.07692307692307693
ministryofjustice/hmpps-book-secure-move-frontend,0,0.011912274149721187,0.7109916608057872,2,129.38461538461542,1,0.07692307692307693
offen/offen,0,0.016871323319435718,0.3245741210583545,1,111.53846153846152,1,0.07692307692307693
w3f/polkadot-deployer,0,0.008851422550052687,0.18269230769230768,1,96.3846153846154,1,0.07692307692307693
telerik/blazor-docs,0,0.005546177959971064,0.0,1,75.07692307692308,1,0.07692307692307693
codeforamerica/BEAR,1,0.01540796963946869,0.34314262250205313,11,24.3728813559322,1,0.01694915254237288
mysterycommand/parcel-plugin-wasm-pack,1,0.0740276035131744,0.5183752417794971,2,36.769230769230774,1,0.07692307692307693
UKHomeOffice/ref-data-api,0,0.010885101704233095,0.5864962045545346,4,32.846153846153854,1,0.07692307692307693
LIu-FengMing/codegame-,0,0.18710764301966856,0.026366788072375986,4,56.92307692307693,0,0.07692307692307693
zebrunner/reporting-ui,0,0.03055761791254738,0.0,6,125.53846153846152,1,0.07692307692307693
Skyscanner/backpack-docs,1,0.15924746198867112,0.014091049860637968,7,94.06896551724138,1,0.017241379310344827
react-native-mapbox-gl/maps,1,0.0797097544767139,0.19794050343249428,22,31.131147540983605,1,0.016393442622950817
dekdevy/hordes-loc,1,0.01685985247629083,0.0,9,390.46153846153845,0,0.07692307692307693
accordproject/cicero-ui,1,0.015298776097912166,0.12919218431029456,4,62.0,1,0.07692307692307693
pegasystems/uplus-wss,0,0.010202435680296796,0.051068553982792114,2,33.53846153846154,1,0.07692307692307693
destegabry/motoviaggiatori,0,0.0001839280339765241,0.0,1,35.6,1,0.06666666666666668
tektoncd/dashboard,0,0.08307346723044398,0.16538115077130955,9,60.92307692307693,1,0.07692307692307693
SofthouseVxo/Education,0,0.03548133541100707,0.027471686562595653,1,38.53846153846154,0,0.07692307692307693
HathorNetwork/hathor-wallet,1,0.09781439139206456,0.0,1,14.4,1,0.06666666666666668
spring-io/dataflow.spring.io,0,0.011130750489657478,0.0,6,27.923076923076927,1,0.07692307692307693
puncsky/typescript-react-lib-starter,0,0.027290448343079917,0.0,1,34.8125,1,0.0625
Conflux-Chain/conflux-scan,1,0.08096435019648104,0.0,8,65.23076923076923,1,0.07692307692307693
upenn-libraries/discovery-app,0,0.2833274084607181,0.0,4,25.74,0,0.02
glin/reactable,1,0.1536060142711519,0.5937880633373934,1,48.35714285714285,1,0.07142857142857142
hktrpg/TG.line.Discord.Roll.Bot,0,0.09598630989421282,0.0,1,35.52380952380953,1,0.023809523809523808
hackaru-app/hackaru-web,1,0.003365789157350643,0.8059232079675009,2,107.0,1,0.07692307692307693
rehandalal/identemoji.js,0,0.02393617021276596,0.0,2,35.846153846153854,1,0.07692307692307693
shuart/ephemeris,0,0.07963410337712014,0.0,1,40.46153846153846,1,0.07692307692307693
quasarframework/quasar-ui-qmarkdown,0,0.08000609570252971,0.0,1,35.692307692307686,1,0.07692307692307693
sync/hackerz,0,0.015398973401773215,0.09035087719298246,1,58.214285714285715,1,0.07142857142857142
odoo/owl,0,0.1036214962645546,0.0,1,61.4375,1,0.0625
egurinko/envision,0,0.013663535439795049,0.0,2,41.285714285714285,0,0.07142857142857142
MattCardona/MovieDB,0,0.008785581605502284,0.0,1,29.214285714285715,0,0.07142857142857142
ResultadosDigitais/matrix,0,0.001442844308932023,0.18214144606874752,8,71.0,1,0.07142857142857142
BigDataBoutique/ElastiQuill,0,0.007848914741481134,0.029478737153055577,2,31.0,1,0.07142857142857142
wanbo-chain/h2-elements,0,0.040906496416717765,0.0,3,10.267857142857142,1,0.017857142857142856
fatchan/jschan,0,0.0224801137455328,0.0,1,91.14285714285714,1,0.07142857142857142
leoding86/webextension-pixiv-toolkit,0,0.11966120455256382,0.0,2,47.78571428571429,0,0.07142857142857142
react-native-tvos/react-native-tvos,0,0.14902241688593698,0.06144862169173933,219,315.14285714285717,1,0.015873015873015872
opt-out-tools/opt-out,0,0.007939189189189191,0.45372460496614003,3,18.61904761904762,1,0.047619047619047616
districtr/districtr,1,0.008267604295353037,0.022101991481524117,3,45.952380952380956,1,0.047619047619047616
