,case,repository,number,package,ghsa,fixed,commit_fix,commit_dev,commit_def,by,labels,comments
0,0,b2wads/grimorio-ui,74,webpack-bundle-analyzer,GHSA-pgr8-jg6h-8gw6,True,ed113cff4730a228882111fc288d843372a6dc97,139b3268c4fcb8894fa016097b8a0a4d010f52fb,05c119550fed8f16b9777f5454f5d5aeff3d1e7a,human,"['cl-im', 'securrity']",code adjustments
1,1,b2wads/grimorio-ui,107,handlebars,GHSA-w457-6q6x-cgp9,True,8e27c08d2629f23e401f5ac7438025f17f20b29e,8199b4ad35e05e8221e6492f22d82983c1d9da19,32199638d9d75a82203b9d1ba05fc01062df219b,human,"['merged', 'upgrade upstream', 'remove dependency', 'security']",discussion
2,2,idena-network/idena-desktop,1,js-yaml,GHSA-2pr6-76vf-7546,True,6d26a58152e5835515c5f386e34a393a5fcebdf8,,e319b4315539efafcc8c9b109a32e58c34ba4169,bot,['merged'],
3,3,idena-network/idena-desktop,1,js-yaml,GHSA-8j8c-7jfh-h6hx,True,6d26a58152e5835515c5f386e34a393a5fcebdf8,,e319b4315539efafcc8c9b109a32e58c34ba4169,bot,['merged'],
4,4,idena-network/idena-desktop,3,lodash,GHSA-jf85-cpcp-j695,True,0ccaa8d7e4548bdc540c4e7df79af5ee913c872a,,db5638f5bce796acc6ada5d4758832a1970d6843,bot,['merged'],
5,5,idena-network/idena-desktop,35,mixin-deep,GHSA-fhjf-83wg-r2j9,True,452b9d5430f51ba258d5cd4e98acb52be7d5f47c,,ae66cb290cbd82f1db7c80ac78383be9564a029b,human,"['cl-im', 'security']",
6,6,idena-network/idena-desktop,36,eslint-utils,GHSA-3gx7-xhv7-5mx3,True,b4777ef554a3d22a37c85991414a1d68b5808835,,b54bb53b3f1b3f4355be1087987377d8207b23dd,human,[],
7,7,idena-network/idena-desktop,183,acorn,GHSA-6chw-6frg-f759,True,7a56a990e0882d71e0531314ca2b9db079f5153a,,ae268fb491b40b687103d3e227bd49f76e24b69a,bot,['merged'],
8,8,idena-network/idena-desktop,215,next,GHSA-fq77-7p7r-83rj,True,dc3ccb149eda8e5591ed90b7fe6b29d7810c6d6e,,7aa87ebc7ae97bdb954b6a168bf997df6f1ecb16,human,"['security', 'higher version']",
9,9,rand256/valetudo,7,mqtt-packet,GHSA-wv67-9jq7-8r69,True,3a29a2be4f316f5df7b7fcb7bbbe046fdf0d3399,,3a29a2be4f316f5df7b7fcb7bbbe046fdf0d3399,human,[],
10,10,vpython/glowscript,73,acorn,GHSA-6chw-6frg-f759,True,d8f1e606563ab11a785f30c10ea78db19eb15945,,0bc964e9208b32ff5d089464fa3097a7c0cccffc,human,['security'],
11,11,hive-engine/nitrous,5,axios,GHSA-42xw-2xvc-qx8m,True,03a648b3585a930f07b6ccd185381285c81726ca,,6d3a0ce580ea9ae3867464af22cb7b0ba15bd33e,bot,['merged'],
12,12,hive-engine/nitrous,6,sshpk,GHSA-2m39-62fm-q8r3,True,788b93fd1d85197e56bd5701541c89ea17787461,,afea96b1c78a7c91dce9d63fb42bb7d2e52a39ed,bot,['merged'],
13,13,hive-engine/nitrous,7,handlebars,GHSA-q42p-pg8m-cqh6,True,b9d4389695bccec2baf8fef94152606eb4f65e7d,,d713308b585e5f5740d0fb4089665174b5f4ddb9,bot,['merged'],
14,14,hive-engine/nitrous,10,underscore.string,GHSA-v2p6-4mp7-3r9v,True,b05e8895d1e57c9a7a02b6516fb7fb61866979c1,,5ea71cbc51cf355d7a632569d693748d57a3ba49,bot,['merged'],
15,15,hive-engine/nitrous,11,macaddress,GHSA-pp57-mqmh-44h7,True,af730a799c89a1328e1a457e5bbf51e3476cedc0,,127d0dc274841b5b33ba00422646665a6930ca24,bot,['merged'],
16,16,hive-engine/nitrous,172,diff,GHSA-h6ch-v84p-w6p9,True,a70090fd6c9908d13f0a3c83801f8d0a7fc79ffe,,c03842273dffa5ea68ec8011b0ec0239346bfd69,bot,['merged'],
17,17,hive-engine/nitrous,175,lodash.mergewith,GHSA-jf85-cpcp-j695,True,53348ce2b659f55d78189184b5f653ddf85e1e82,,81b8cf3eb29e276e0591a85eaa94db33d767e4d1,bot,['merged'],
18,18,hive-engine/nitrous,197,handlebars,GHSA-w457-6q6x-cgp9,True,ce8c851e6d840bdd79c539f128b6371bb50805bf,,6b66ebc17099f0a58bd5fe7debc4ae86051056ef,bot,['merged'],
19,19,hive-engine/nitrous,227,minimist,GHSA-vh95-rmgr-6w4m,False,,,,,['superseded'],
20,20,hive-engine/nitrous,229,minimist,GHSA-vh95-rmgr-6w4m,False,,,,,['superseding'],
21,21,hive-engine/nitrous,234,jquery,GHSA-gxr4-xjj5-5px2,True,6fe2f4d7d8e1e9510c91f5cb8c38c466a0275b81,,176c6ca617b96e3a8a1074b7bbcff2fdcff607eb,bot,['merged'],
22,22,hive-engine/nitrous,234,jquery,GHSA-jpcq-cgw6-v4j6,True,6fe2f4d7d8e1e9510c91f5cb8c38c466a0275b81,,176c6ca617b96e3a8a1074b7bbcff2fdcff607eb,bot,['merged'],
23,23,grommet/grommet-designer,50,minimist,GHSA-vh95-rmgr-6w4m,True,350a932ad6184dc34630d0cece7608f4420586e6,,350a932ad6184dc34630d0cece7608f4420586e6,human,['security'],
24,24,airswap/AirSwap.js,42,handlebars,GHSA-q42p-pg8m-cqh6,True,927c8dc83719deda7a3516afcfcb938c9af08736,0eca80168176aa702afa60dac042fbc18284f52e,d86c94aa39b7c4aebf169c8c5a528176d8af738a,bot,['merged'],
25,25,airswap/AirSwap.js,54,eslint,GHSA-jcgq-xh2f-2hfm,True,cac948d257f43b06fa9f5d84d9d8d75d399ce707,fcb7f70cb8a80489ff74d9a81f84005b95e03e41,aca86324bed4ee702b05036afaf3ebdf738fb4cc,bot,['merged'],
26,26,airswap/AirSwap.js,91,lodash.merge,GHSA-jf85-cpcp-j695,True,36fa22aeb30859ffd83cd0855eef12f1969799a8,a0125b2cd1f32bcedf355327a91fe6b78b51537e,ec21fdae9bf1e57fd42c2c03d198ea214561cb06,bot,['merged'],
27,27,airswap/AirSwap.js,92,lodash-es,GHSA-jf85-cpcp-j695,True,e664d23c777221fe1e1d67d29d43435b7de8d6e5,0ed5893196ac8028f3b2b70d677d426d1231a0c0,ec21fdae9bf1e57fd42c2c03d198ea214561cb06,bot,['merged'],
28,28,airswap/AirSwap.js,93,lodash,GHSA-jf85-cpcp-j695,True,0d47798fb6681ca73cefdc340ff326a7720b26b7,9946089c384964c198b2536cd0178c072796477e,ec21fdae9bf1e57fd42c2c03d198ea214561cb06,bot,['merged'],
29,29,wordproof/wordproof-timestamp,7,eslint-utils,GHSA-3gx7-xhv7-5mx3,True,5580035f9f233be12e7f95fc691f2f86f70b98c1,,5580035f9f233be12e7f95fc691f2f86f70b98c1,human,"['upgrade upstream', 'multiple packages', 'remove lock', 'cl-im']",
30,30,wordproof/wordproof-timestamp,10,acorn,GHSA-6chw-6frg-f759,True,a3f761556b1e9fe4fd8200ff9d43555637af7f88,a3f761556b1e9fe4fd8200ff9d43555637af7f88,39008cd6aab061fccd2b40d6dba171eb4352f38a,human,"['merged', 'remove directory']",
