,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
0,b2wads/grimorio-ui,74,https://github.com/b2wads/grimorio-ui/pull/74,2019-10-10T19:21:58Z,CLOSED,webpack-bundle-analyzer,3.0.3,3.3.2,['GHSA-pgr8-jg6h-8gw6'],['MODERATE'],MODERATE
1,b2wads/grimorio-ui,107,https://github.com/b2wads/grimorio-ui/pull/107,2020-01-06T16:47:21Z,MERGED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
2,idena-network/idena-desktop,1,https://github.com/idena-network/idena-desktop/pull/1,2019-06-29T11:57:09Z,MERGED,js-yaml,3.12.1,3.13.1,"['GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx']","['MODERATE', 'HIGH']",HIGH
3,idena-network/idena-desktop,3,https://github.com/idena-network/idena-desktop/pull/3,2019-07-15T13:01:58Z,MERGED,lodash,4.17.11,4.17.14,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
4,idena-network/idena-desktop,35,https://github.com/idena-network/idena-desktop/pull/35,2019-09-11T10:02:08Z,CLOSED,mixin-deep,1.3.1,1.3.2,['GHSA-fhjf-83wg-r2j9'],['HIGH'],HIGH
5,idena-network/idena-desktop,36,https://github.com/idena-network/idena-desktop/pull/36,2019-09-11T10:02:13Z,CLOSED,eslint-utils,1.3.1,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
6,idena-network/idena-desktop,183,https://github.com/idena-network/idena-desktop/pull/183,2020-03-14T23:26:13Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
7,idena-network/idena-desktop,215,https://github.com/idena-network/idena-desktop/pull/215,2020-03-31T12:14:36Z,CLOSED,next,9.3.1,9.3.2,['GHSA-fq77-7p7r-83rj'],['MODERATE'],MODERATE
8,rand256/valetudo,7,https://github.com/rand256/valetudo/pull/7,2019-07-13T13:49:01Z,CLOSED,mqtt-packet,5.6.0,5.6.1,['GHSA-wv67-9jq7-8r69'],['HIGH'],HIGH
9,vpython/glowscript,73,https://github.com/vpython/glowscript/pull/73,2020-04-05T12:29:36Z,CLOSED,acorn,5.1.2,7.1.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
10,hive-engine/nitrous,5,https://github.com/hive-engine/nitrous/pull/5,2019-06-01T21:24:10Z,MERGED,axios,0.18.0,0.18.1,['GHSA-42xw-2xvc-qx8m'],['MODERATE'],MODERATE
11,hive-engine/nitrous,6,https://github.com/hive-engine/nitrous/pull/6,2019-06-05T03:07:32Z,MERGED,sshpk,1.13.1,1.16.1,['GHSA-2m39-62fm-q8r3'],['HIGH'],HIGH
12,hive-engine/nitrous,7,https://github.com/hive-engine/nitrous/pull/7,2019-06-06T21:34:13Z,MERGED,handlebars,4.0.11,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
13,hive-engine/nitrous,10,https://github.com/hive-engine/nitrous/pull/10,2019-06-15T19:53:28Z,MERGED,underscore.string,3.3.4,3.3.5,['GHSA-v2p6-4mp7-3r9v'],['MODERATE'],MODERATE
