,repository,all,merged,closed,ratio,stars,forks,watchers
0,idena-network/idena-desktop,6,3,3,0.5,92,64,7
0,rand256/valetudo,1,0,1,0.0,610,70,29
0,vpython/glowscript,1,0,1,0.0,65,19,9
0,hive-engine/nitrous,11,9,1,0.9,27,56,18
0,grommet/grommet-designer,1,0,1,0.0,37,16,9
0,airswap/AirSwap.js,6,6,0,1.0,22,31,6
0,wordproof/wordproof-timestamp,2,0,2,0.0,14,7,5
0,JuanIrache/gopro-telemetry,1,1,0,1.0,223,42,10
0,linode/developers,1,0,1,0.0,9,42,21
0,mobxjs/mst-gql,31,16,15,0.5161290322580645,656,79,11
0,poanetwork/tokenbridge,2,2,0,1.0,250,198,11
0,binary-com/deriv-app,7,4,3,0.5714285714285714,37,200,13
0,RedHatInsights/frontend-components,4,4,0,1.0,29,84,12
0,rage/concepts,5,0,5,0.0,3,3,3
0,replicatedhq/kotsadm,12,12,0,1.0,256,9,20
0,gab-ai-inc/defiant-browser,1,0,1,0.0,106,23,15
0,voluntarily/vly2,5,4,1,0.8,100,47,33
0,HumanRightsMeasurementInitiative/hrmi-dataportal,1,0,1,0.0,4,8,7
0,Terralego/terra-front,1,1,0,1.0,7,1,3
0,yafp/ttth,1,0,1,0.0,121,25,8
0,DeyLak/redux-restify,10,0,6,0.0,9,4,2
0,biuuu/ShinyColors,4,4,0,1.0,340,67,7
0,aws-amplify/community,6,0,6,0.0,241,110,63
0,casual-simulation/casualos,6,4,2,0.6666666666666666,28,5,9
0,carbon-design-system/gatsby-theme-carbon,2,1,1,0.5,339,243,16
0,ministryofjustice/hmpps-book-secure-move-frontend,2,2,0,1.0,7,3,7
0,offen/offen,3,0,3,0.0,647,35,6
0,w3f/polkadot-deployer,5,5,0,1.0,100,45,14
0,LIu-FengMing/codegame-,1,0,0,0,2,0,0
0,zebrunner/reporting-ui,1,0,1,0.0,21,4,9
0,react-native-mapbox-gl/maps,1,1,0,1.0,1583,711,35
0,dekdevy/hordes-loc,3,3,0,1.0,62,148,8
0,accordproject/cicero-ui,2,2,0,1.0,27,47,9
0,SofthouseVxo/Education,3,3,0,1.0,16,20,13
0,spring-io/dataflow.spring.io,1,1,0,1.0,35,82,16
0,glin/reactable,6,6,0,1.0,528,77,18
0,hktrpg/TG.line.Discord.Roll.Bot,3,2,1,0.6666666666666666,74,140,5
0,wanbo-chain/h2-elements,1,0,0,0,4,0,2
0,react-native-tvos/react-native-tvos,7,7,0,1.0,538,98,24
0,rainbow-me/rainbow,3,2,1,0.6666666666666666,3217,451,52
0,the-labo/the,15,4,11,0.26666666666666666,5,3,2
0,LeedsJS/website,1,0,1,0.0,7,4,3
0,brainstormforce/ultimate-addons-for-gutenberg,5,5,0,1.0,211,51,13
0,Samsung/TAU,4,3,1,0.75,44,42,4
0,typpo/quickchart,7,7,0,1.0,1334,164,28
0,steedos/steedos-platform,6,0,4,0.0,949,291,40
0,Yoast/javascript,3,0,2,0.0,127,47,15
0,jsxcad/JSxCAD,6,6,0,1.0,26,4,6
0,bcye/Hello-Goodbye,1,1,0,1.0,237,17,8
0,codypearce/material-bread,4,4,0,1.0,314,112,8
0,zilpay/zil-pay,1,0,1,0.0,2,0,1
0,uc-cdis/guppy,1,1,0,1.0,7,9,22
0,reactjs/gu.reactjs.org,6,1,5,0.16666666666666666,23,36,9
0,viz-centric/flair-bi,2,0,2,0.0,25,23,18
0,viz-centric/flair-notifications,2,0,1,0.0,16,18,18
0,theDavidBarton/puppeteer-daily-menu-scraper,5,5,0,1.0,13,4,2
0,drzzle-app/picazzo,7,0,0,0,7,2,2
0,react-native-community/rn-diff-purge,4,2,2,0.5,1134,72,19
0,AdguardTeam/Scriptlets,5,0,5,0.0,96,22,20
0,RedHatInsights/tower-analytics-frontend,9,9,0,1.0,9,22,15
0,City-of-Helsinki/servicemap-ui,2,2,0,1.0,4,9,4
0,team-friendo/signalboost,6,0,6,0.0,36,1,2
0,den19980107/nkust-online-study,4,0,1,0.0,4,1,0
0,goabstract/Awesome-Design-Tools,2,1,1,0.5,27334,1955,544
0,GetStream/stream-chat-react,39,28,11,0.717948717948718,483,214,32
0,valueflows/vf-graphql,2,0,2,0.0,21,3,8
0,kiwiirc/kiwibnc,1,1,0,1.0,34,19,13
0,OvidijusParsiunas/myvision,3,3,0,1.0,514,54,31
0,blobfysh/Lootcord,1,1,0,1.0,7,4,2
0,reactjs/reactjs.org-translation,1,1,0,1.0,194,166,50
0,Coding-Coach/find-a-mentor,9,9,0,1.0,704,436,28
0,internetarchive/iaux,26,20,6,0.7692307692307693,58,88,24
0,halfnelson/svelte-native,6,0,5,0.0,1374,69,26
0,politics-rewired/Spoke,4,0,4,0.0,34,14,14
0,googleads/publisher-ads-lighthouse-plugin,5,4,1,0.8,82,51,21
0,SAP/ui5-webcomponents,4,4,0,1.0,1247,210,48
0,algenty/grafana-flowcharting,5,1,4,0.2,786,118,36
0,ventureum/Chainsfr,6,6,0,1.0,6,11,6
0,ocius/website,1,1,0,1.0,7,5,7
0,athomasoriginal/blog,1,0,1,0.0,4,2,2
0,didi/chameleon,7,0,6,0.0,8960,696,239
0,RecallGraph/RecallGraph,4,2,2,0.5,310,25,12
0,beaverbuilder/assistant,1,0,1,0.0,31,5,10
0,GoodDollar/GoodServer,4,4,0,1.0,12,9,9
0,protectwise/troika,5,4,1,0.8,1081,82,32
0,istreamlabs/pebble,3,3,0,1.0,15,5,14
0,wirecard/merchant-documentation-gateway,2,0,2,0.0,4,4,4
0,BryanAdamss/vue-awesome-template,4,1,3,0.25,88,18,4
0,TaleLin/lin-ui,4,0,4,0.0,3716,474,68
0,catho/quantum,3,3,0,1.0,57,22,11
0,sillvva/rpg-schedule,2,2,0,1.0,37,32,4
0,ArcBlock/forge-js,12,7,5,0.5833333333333334,24,3,20
0,StraboSpot/StraboSpot-Mobile,1,0,1,0.0,13,1,4
0,liferay/liferay-npm-tools,3,0,3,0.0,18,17,13
0,vulturno/vulturno,1,1,0,1.0,15,1,2
0,wubaiqing/zaobao,2,2,0,1.0,2192,167,97
0,sanusart/react-dropdown-select,2,2,0,1.0,310,82,8
0,F5Networks/f5-declarative-onboarding,1,0,1,0.0,51,22,22
0,ronggang/PT-Plugin-Plus,2,2,0,1.0,4369,635,45
0,carbon-design-system/carbon-addons-iot-react,6,6,0,1.0,89,65,21
0,nib-edit/Nib,5,4,1,0.8,220,30,7
0,rob-balfre/svelte-select,2,2,0,1.0,884,133,14
0,cruise-automation/webviz,23,1,13,0.07142857142857142,1693,380,58
0,unchainedshop/unchained,1,0,1,0.0,148,20,4
0,santiment/app,2,2,0,1.0,14,11,5
0,SPLA/VARIAMOS-WEB,2,1,0,1.0,2,32,3
0,OpenZeppelin/openzeppelin-test-helpers,3,3,0,1.0,388,125,21
0,DDDEastMidlandsLimited/dddem-web,4,4,0,1.0,9,34,5
0,moneybutton/bsv,5,5,0,1.0,195,104,19
0,makerdao/mcd-cdp-portal,5,4,1,0.8,58,50,29
0,kartverket/Geonorge.Kartkatalog.React,4,3,1,0.75,6,1,11
0,cylc/cylc-ui,2,2,0,1.0,30,22,8
0,bufferapp/ui,2,0,2,0.0,50,16,4
0,bigbluebutton/bbb-webrtc-sfu,1,1,0,1.0,44,41,18
0,MaayanLab/signature-commons-ui,4,4,0,1.0,6,3,8
0,Tradeshift/elements,1,0,1,0.0,13,15,6
0,daostack/migration,1,1,0,1.0,17,17,7
0,welldone-software/why-did-you-render,1,0,1,0.0,9608,169,38
0,brillout/wildcard-api,9,8,1,0.8888888888888888,367,14,6
0,storybookjs/frontpage,6,6,0,1.0,167,96,9
0,poanetwork/posdao-contracts,6,0,6,0.0,99,50,12
0,CyberCRI/learn-ext,5,0,5,0.0,12,1,11
0,lino-framework/react,2,1,1,0.5,2,2,5
0,katai5plate/RPGMV-CoreScript-Reference,2,0,0,0,16,5,2
0,MikaelMayer/Editor,1,0,0,0,17,4,3
0,smeup/ketchup,5,5,0,1.0,9,8,6
0,CalvinVon/dalao-proxy,2,2,0,1.0,6,2,4
0,tecsinapse/ui-kit,6,6,0,1.0,8,4,9
0,ovh/manager,20,3,17,0.15,166,77,26
0,Waiviogit/waivio,3,1,2,0.3333333333333333,7,7,3
0,dwp/govuk-casa,1,0,1,0.0,31,22,8
0,wu-yu-xuan/blog.mscorlib.top,6,0,2,0.0,9,3,1
0,monero-ecosystem/monero-javascript,2,2,0,1.0,144,53,15
0,carbon-design-system/carbon-components-vue,19,18,1,0.9473684210526315,514,145,11
0,Laboralphy/o876-raycaster-engine,3,3,0,1.0,18,1,3
0,MoTrPAC/motrpac-frontend,2,0,2,0.0,2,0,7
0,opentargets/platform-app,1,0,1,0.0,119,25,8
0,CatalysmsServerManager/7-days-to-die-server-manager,5,4,1,0.8,53,57,5
0,seatsio/seatsio-js,1,1,0,1.0,11,3,4
0,IBM/openapi-validator,2,1,1,0.5,361,74,19
0,TankerHQ/sdk-js,1,0,1,0.0,796,27,12
0,lttb/reshadow,31,19,12,0.6129032258064516,358,14,17
0,medialab/website,2,0,2,0.0,12,4,11
0,mtgjson/mtgjson-website,1,1,0,1.0,28,17,4
0,tailwindtoolbox/TailwindToolbox,3,3,0,1.0,20,6,0
0,inaturalist/SeekReactNative,1,0,1,0.0,98,18,15
0,Haehnchen/crypto-trading-bot,1,1,0,1.0,2678,895,171
0,twilio/twilio-cli,3,3,0,1.0,136,61,32
0,testing-library/user-event,8,0,8,0.0,1871,210,17
0,EdgeApp/edge-currency-accountbased,2,0,2,0.0,13,32,13
0,fortinet/fortigate-autoscale,19,0,19,0.0,12,11,12
0,TarsCloud/TarsWeb,6,4,2,0.6666666666666666,134,101,21
0,streamr-dev/broker,2,0,2,0.0,12,7,12
0,keyboardio/Chrysalis,4,3,1,0.75,424,101,25
0,lannonbr/vscode-issue-tracker,8,0,8,0.0,248,53,6
0,maxjeffwell/full-stack-capstone-client,3,2,1,0.6666666666666666,2,0,0
0,goabstract/abstract-sdk,4,4,0,1.0,59,17,28
0,visgl/loaders.gl,2,2,0,1.0,519,140,30
0,RebusFoundation/reader-api,1,0,1,0.0,4,5,4
0,EDM-Spot/OtterBot,2,0,2,0.0,3,5,7
0,ucfopen/Obojobo,8,5,3,0.625,50,32,14
0,acl-services/paprika,1,1,0,1.0,49,6,40
0,Neko250/rlspain,1,0,1,0.0,4,1,3
0,nexxtway/react-rainbow,16,16,0,1.0,1744,105,23
0,atomicojs/atomico,2,0,2,0.0,911,37,23
0,vck3000/ProAvalon,11,6,5,0.5454545454545454,75,62,6
0,totvs/ttalk-standard-message,5,0,5,0.0,30,62,32
0,rabiran/karting,2,2,0,1.0,3,0,4
0,bchiang7/v4,1,1,0,1.0,5760,2695,72
0,integr8ly/tutorial-web-app,1,1,0,1.0,36,54,19
0,Kommunicate-io/Kommunicate-Web-SDK,2,1,1,0.5,23,19,11
0,integromat/vscode-apps-sdk,1,0,1,0.0,25,9,8
0,entrylabs/entry-tool,6,2,4,0.3333333333333333,4,3,10
0,lane711/sonicjs,15,1,11,0.08333333333333333,369,71,14
0,mika-cn/maoxian-web-clipper,1,0,1,0.0,628,92,20
0,sencha/ext-react,1,0,1,0.0,87,37,21
0,inc2734/snow-monkey-blocks,1,0,1,0.0,42,17,2
0,optoolco/components,1,1,0,1.0,66,7,8
0,sc-voice/sc-voice,2,1,1,0.5,9,11,5
0,girder/girder_web_components,11,11,0,1.0,17,9,14
0,pxblue/themes,2,0,2,0.0,5,5,7
0,facebook/fbt,13,0,13,0.0,3771,182,43
0,gridsome/gridsome,9,1,8,0.1111111111111111,8400,498,130
0,peeranha/peeranha-web,6,0,4,0.0,1,0,2
0,PDNMX/pdn,4,4,0,1.0,3,2,9
0,sheinsight/shineout,8,8,0,1.0,806,136,22
0,laravel/nova-docs,4,4,0,1.0,302,153,26
0,kubesphere/docs.kubesphere.io,7,7,0,1.0,29,89,6
0,Optum/mockiato,1,0,1,0.0,23,9,13
0,razzius/weave,3,1,2,0.3333333333333333,7,2,4
0,apexcharts/apexcharts.js,1,1,0,1.0,12157,1067,117
0,asyncapi/generator,2,1,1,0.5,561,146,20
0,tillhub/schemas,18,0,18,0.0,9,3,10
0,tobeyadr/Groundhogg,4,4,0,1.0,30,10,6
0,maidsafe/safenetwork.tech,5,2,3,0.4,16,22,13
0,ifyour/github-trending-archive,3,3,0,1.0,17,2,4
0,goodrain/rainbond-ui,1,0,1,0.0,50,58,9
0,tech-conferences/conference-data,5,5,0,1.0,225,137,10
0,liquality/liquality-swap,1,0,1,0.0,54,38,17
0,leanjs/leanjs,4,4,0,1.0,162,4,4
0,ecency/ecency-mobile,4,4,0,1.0,176,51,9
0,dcloudio/uni-app,5,5,0,1.0,37583,3407,501
0,Tsuk1ko/cq-picsearcher-bot,2,1,1,0.5,1375,212,25
0,ebi-webcomponents/nightingale,3,0,3,0.0,95,29,8
0,shockpkg/packages,1,0,1,0.0,5,0,2
0,common-voice/sentence-collector,3,3,0,1.0,77,64,12
0,eggheadio/how-to-egghead,6,1,5,0.16666666666666666,70,41,12
0,corestate55/netoviz,1,1,0,1.0,32,11,2
0,SAP/luigi,14,12,2,0.8571428571428571,678,158,19
0,kyma-project/console,47,1,46,0.02127659574468085,45,62,25
0,digipolisantwerp/acpaas-ui_react,12,8,4,0.6666666666666666,15,17,9
0,tracking-exposed/yttrex,2,1,1,0.5,38,12,4
0,accessibilitysupported/a11ysupport.io,2,2,0,1.0,234,24,15
0,RedHatInsights/vulnerability-ui,1,1,0,1.0,10,37,10
0,dashevo/wallet-lib,1,1,0,1.0,13,15,10
0,Integreat/integreat-react-native-app,9,8,1,0.8888888888888888,9,4,9
0,makerdao/governance-portal,7,7,0,1.0,26,28,16
0,ninjadotorg/handshake-i18n,2,0,1,0.0,5,0,2
0,magento/pwa-studio,8,7,1,0.875,985,648,298
0,codefordenver/Comrad,4,4,0,1.0,23,8,23
0,StanfordHCI/bang,1,1,0,1.0,2,1,11
0,Amsterdam/signals-frontend,3,1,2,0.3333333333333333,9,21,20
0,betagouv/eva,2,2,0,1.0,14,3,9
0,bmlt-enabled/crouton,1,1,0,1.0,4,13,2
0,ChilliCream/hotchocolate-docs,3,2,1,0.6666666666666666,17,51,6
0,wazo-platform/wazo-js-sdk,5,5,0,1.0,29,16,6
0,IHTSDO/authoring-ui,2,0,2,0.0,7,4,15
0,herotc/bfa.herodamage.com,1,0,1,0.0,24,15,3
0,genouest/genouestaccountmanager,11,0,11,0.0,4,6,4
0,Netflix/pollyjs,5,5,0,1.0,9849,389,333
0,segmentio/analytics.js-integrations,4,0,2,0.0,105,139,18
0,mozilla/Spoke,2,1,1,0.5,574,215,49
0,Simonwep/pickr,1,1,0,1.0,3962,276,28
0,asterics/AsTeRICS-Grid,1,1,0,1.0,23,8,8
0,vtex-apps/store,6,3,3,0.5,55,38,56
0,CityOfPhiladelphia/phila.gov-router,5,3,1,0.75,6,2,14
0,guidokessels/xwing-data2,5,4,1,0.8,83,63,16
0,bytedance/xgplayer,1,0,1,0.0,5852,677,108
0,GuacLive/guac-web,2,1,1,0.5,10,5,2
0,your-digital-rights/yourdigitalrights.org,2,1,1,0.5,52,11,5
0,orbs-network/orbs-ethereum-contracts-v1,14,0,5,0.0,7,5,6
0,integrations/jira,3,2,1,0.6666666666666666,483,158,22
0,studiodrishti/recipe-lab,3,0,3,0.0,4,1,3
0,StartupsPoleEmploi/zen,8,7,1,0.875,6,2,4
0,bespoken/skill-testing-ml,5,5,0,1.0,8,1,9
0,Plant-for-the-Planet-org/treecounter-app,2,1,1,0.5,37,18,13
0,CivicActions/civicactions.com,7,0,7,0.0,2,13,59
0,catdad/raw-viewer,1,0,1,0.0,36,6,6
0,ensdomains/ens-app,6,1,5,0.16666666666666666,197,253,16
0,Tiledesk/tiledesk-server,6,1,5,0.16666666666666666,169,63,9
