package,ecosystem,severity,cve,ghsa,summary,publishedAt,updatedAt,firstPatchedVersion,vulnerableVersionRange
matrix-synapse,PIP,LOW,CVE-2021-21333,GHSA-c5f8-35qr-q4fm,HTML injection in email and account expiry notifications,2021-03-26 19:53:04,2021-03-26 19:53:04,1.27.0,< 1.27.0
matrix-synapse,PIP,LOW,CVE-2021-21332,GHSA-246w-56m2-5899,Cross-site scripting (XSS) vulnerability in the password reset endpoint,2021-03-26 19:52:54,2021-03-26 19:52:54,1.27.0,< 1.27.0
PyYAML,PIP,MODERATE,CVE-2020-14343,GHSA-8q59-q68h-6hv4,Improper Input Validation in PyYAML,2021-03-25 21:26:26,2021-03-25 21:26:26,5.4,< 5.4
fs-path,NPM,CRITICAL,CVE-2020-8298,GHSA-8mrf-64fw-2x75,Command injection in fs-path,2021-03-25 21:06:41,2021-03-25 21:06:41,0.0.25,< 0.0.25
com.google.guava:guava,MAVEN,MODERATE,CVE-2020-8908,GHSA-5mg8-w23w-74h3,Information Disclosure in Guava,2021-03-25 17:04:19,2021-03-25 17:04:19,30.0-jre,<= 29.0
rsa,PIP,HIGH,CVE-2020-13757,GHSA-537h-rv9q-vvph,Access Restriction Bypass,2021-03-24 18:24:39,2021-03-24 18:24:39,4.1,< 4.1
joomla/archive,COMPOSER,MODERATE,CVE-2021-26028,GHSA-vgwr-773q-7j3c,Path Traversal within joomla/archive zip class,2021-03-24 17:58:13,2021-03-24 17:58:13,1.1.10,< 1.1.10
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.6.4,">= 4.6.0, < 4.6.4"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.5.1,">= 4.5.0, < 4.5.1"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.4.3,">= 4.4.0, < 4.4.3"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.3.3,">= 4.3.0, < 4.3.3"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.2.4,">= 4.2.0, < 4.2.4"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.1.2,">= 4.1.0, < 4.1.2"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,4.0.7,">= 4.0.0, < 4.0.7"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,3.1.4,">= 3.1.0, < 3.1.4"
symbiote/silverstripe-queuedjobs,COMPOSER,MODERATE,CVE-2021-27938,GHSA-xgpf-p52j-pf7m,XSS in CreateQueuedJobTask,2021-03-24 17:42:02,2021-03-24 17:42:02,3.0.2,">= 3.0.0, < 3.0.2"
org.xwiki.platform:xwiki-platform-ratings-api,MAVEN,HIGH,CVE-2021-21380,GHSA-79rg-7mv3-jrr5,Rating Script Service expose XWiki to SQL injection,2021-03-23 22:48:01,2021-03-25 15:14:39,12.9,< 12.9
org.xwiki.platform:xwiki-platform-rendering-wikimacro-store,MAVEN,LOW,CVE-2021-21379,GHSA-v662-xpcc-9xf6,It's possible to execute anything with the rights of the author of a macro which uses the {{wikimacrocontent}} macro,2021-03-23 22:47:26,2021-03-23 22:47:26,12.8,">= 12.7, <= 12.7.1"
org.xwiki.platform:xwiki-platform-rendering-wikimacro-store,MAVEN,LOW,CVE-2021-21379,GHSA-v662-xpcc-9xf6,It's possible to execute anything with the rights of the author of a macro which uses the {{wikimacrocontent}} macro,2021-03-23 22:47:26,2021-03-23 22:47:26,12.6.3,">= 12.0, < 12.6.3"
org.xwiki.platform:xwiki-platform-rendering-wikimacro-store,MAVEN,LOW,CVE-2021-21379,GHSA-v662-xpcc-9xf6,It's possible to execute anything with the rights of the author of a macro which uses the {{wikimacrocontent}} macro,2021-03-23 22:47:26,2021-03-23 22:47:26,11.10.11,">= 11.4, < 11.10.11"
omero-web,PIP,LOW,CVE-2021-21377,GHSA-g4rf-pc26-6hmr,OMERO webclient does not validate URL redirects on login or switching group.,2021-03-23 15:26:49,2021-03-24 15:26:55,5.9.0,< 5.9.0
omero-web,PIP,LOW,CVE-2021-21376,GHSA-gfp2-w5jm-955q,OMERO.web exposes some unnecessary session information in the page,2021-03-23 15:26:34,2021-03-24 15:27:15,5.9.0,< 5.9.0
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21370,GHSA-x7hc-x7fm-f7qh,Cross-Site Scripting in Content Preview (CType menu),2021-03-23 01:54:17,2021-03-24 15:27:05,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21370,GHSA-x7hc-x7fm-f7qh,Cross-Site Scripting in Content Preview (CType menu),2021-03-23 01:54:17,2021-03-24 15:27:05,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21370,GHSA-x7hc-x7fm-f7qh,Cross-Site Scripting in Content Preview (CType menu),2021-03-23 01:54:17,2021-03-24 15:27:05,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21370,GHSA-x7hc-x7fm-f7qh,Cross-Site Scripting in Content Preview (CType menu),2021-03-23 01:54:17,2021-03-24 15:27:05,8.7.40,">= 8.0.0, <= 8.7.39"
typo3/cms-backend,COMPOSER,LOW,CVE-2021-21370,GHSA-x7hc-x7fm-f7qh,Cross-Site Scripting in Content Preview (CType menu),2021-03-23 01:54:17,2021-03-24 15:27:05,7.6.51,">= 7.0.0, <= 7.6.50"
typo3/cms-core,COMPOSER,MODERATE,CVE-2021-21359,GHSA-4p9g-qgx9-397p,Denial of Service in Page Error Handling,2021-03-23 01:54:09,2021-03-24 15:28:20,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-core,COMPOSER,MODERATE,CVE-2021-21359,GHSA-4p9g-qgx9-397p,Denial of Service in Page Error Handling,2021-03-23 01:54:09,2021-03-24 15:28:20,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-core,COMPOSER,MODERATE,CVE-2021-21359,GHSA-4p9g-qgx9-397p,Denial of Service in Page Error Handling,2021-03-23 01:54:09,2021-03-24 15:28:20,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-form,COMPOSER,MODERATE,CVE-2021-21358,GHSA-x79j-wgqv-g8h2,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') in typo3/cms-form,2021-03-23 01:54:06,2021-03-24 15:28:31,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-form,COMPOSER,MODERATE,CVE-2021-21358,GHSA-x79j-wgqv-g8h2,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') in typo3/cms-form,2021-03-23 01:54:06,2021-03-24 15:28:31,10.4.14,">= 10.2.0, <= 10.4.13"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21357,GHSA-3vg7-jw9m-pc3f,Broken Access Control in Form Framework,2021-03-23 01:53:57,2021-03-24 15:26:45,11.1.1,">= 11.0.0, <= 11.1.0"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21357,GHSA-3vg7-jw9m-pc3f,Broken Access Control in Form Framework,2021-03-23 01:53:57,2021-03-24 15:26:45,10.4.14,">= 10.0.0, <= 10.4.13"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21357,GHSA-3vg7-jw9m-pc3f,Broken Access Control in Form Framework,2021-03-23 01:53:57,2021-03-24 15:26:45,9.5.25,">= 9.0.0, <= 9.5.24"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21357,GHSA-3vg7-jw9m-pc3f,Broken Access Control in Form Framework,2021-03-23 01:53:57,2021-03-24 15:26:45,8.7.40,">= 8.0.0, <= 8.7.39"
typo3/cms-form,COMPOSER,HIGH,CVE-2021-21355,GHSA-2r6j-862c-m2v2,Unrestricted File Upload in Form Framework,2021-03-23 01:53:52,2021-03-24 15:28:12,11.1.1,">= 11.0.0, <= 11.1.0"
